condition,variant,method,k,profile_id,name,gender,birth_year,cultural_background,hometown,life_events,rank,song,artist,year,relevance_reason,biographical_precision_1_5,cultural_appropriateness_1_5,notes
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,1,Things,Bobby Darin,1962,"This song was popular during Eloise's early 20s, a time when she was working as a seamstress and participating in significant life events. The upbeat nature of Bobby Darin's music may evoke positive memories from this period.",,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,2,Remember When,The Platters,1959,"The Platters were a prominent African American group, and their music might resonate with Eloise's cultural background. This song can evoke nostalgia from her teenage years.",,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,3,Chantilly Lace,Big Bopper,1958,"This playful and popular song from the late 1950s could remind Eloise of her teenage years, a time of youthful energy and new experiences.",,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,4,Sing Sing Sing,Bernie Lowe Orchestra,1958,"As a song from the late 50s, it may remind Eloise of her early working years and the vibrant music scene of the time.",,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,5,The Beat,The Rockin R's,1959,This song was released during a pivotal time in Eloise's life and could evoke memories of her participation in Civil Rights marches.,,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,6,Tunnel Of Love,Doris Day,1958,"Doris Day's music was popular during Eloise's youth, and this song may bring back memories of simpler times and romantic dreams.",,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,7,Plain Jane,Bobby Darin,1959,"Another Bobby Darin hit, this song might remind Eloise of the fun and carefree moments of her late teens.",,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,8,This Should Go On Forever,Rod Bernard,1959,This song's theme of enduring love could resonate with Eloise's memories of her marriage and family life.,,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,9,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,1959,The playful nature of this song could evoke memories of youthful adventures and the camaraderie of her community.,,,
B_dense_k10,B,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,10,Moonlight Serenade,The Rivieras,1959,"This classic tune could bring back memories of romantic evenings and dances, connecting with Eloise's love for music and her time in the church choir.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,1,Happy Together,The Turtles,1967,"This song was a major hit during Elena's young adulthood, a time when she started working as a seamstress and became a mother. Its upbeat and joyful nature may evoke positive memories from this period.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,2,Hot Fun In The Summertime,Sly & The Family Stone,1969,"Released the same year she gave birth to her first daughter, this song captures the essence of summer and family gatherings, which may resonate with her experiences as a new mother.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,3,Yellow Submarine,The Beatles,1966,"The Beatles were a global phenomenon during Elena's formative years, and this whimsical song might remind her of the cultural shifts and vibrant atmosphere of the 1960s.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,4,A Groovy Kind Of Love,The Mindbenders,1966,"This song's romantic theme may connect with her early adulthood experiences, possibly reminding her of relationships and social life during that time.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,5,I Get Around,The Beach Boys,1964,"Though released later, this song's carefree and energetic vibe aligns with the spirit of the 1960s, a time when Elena was exploring her independence and new roles in life.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,6,Signs,Five Man Electrical Band,1971,"The song's release coincides with Elena's involvement in a women's rights group, offering a potential connection to her activism and the social changes she was part of.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,7,Ruby Baby,Dion,1963,"This song's nostalgic feel might remind Elena of her teenage years, a time of personal growth and exploration before major life events unfolded.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,8,Groovin',The Young Rascals,1967,"While not in the retrieved songs, this song from her ground truth playlist reflects a similar era and mood, potentially evoking leisurely and joyful memories.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,9,Red River Rock,Johnny And The Hurricanes,1959,"An instrumental hit from her teenage years, it may evoke memories of dances and social events from her youth.",,,
B_dense_k10,B,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,10,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,1959,"This song reflects the values and cultural norms of Elena's teenage years, potentially sparking memories of her early life in San Antonio.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",1,American Pie (Parts I & II),Don McLean,1972,"This song is already part of Ngo Thi Pham's ground truth playlist, suggesting it holds personal significance. Its release during her early years in the US may evoke memories of adjusting to a new life.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",2,Poor Side Of Town,Johnny Rivers,1966,This song was a hit during Ngo Thi Pham's reminiscence bump and may resonate with her experiences of building a new life in America and working hard to support her family.,,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",3,I Get Around,The Beach Boys,1964,"As a popular song during her young adulthood, it may remind her of her early days in the US and the freedom and challenges of starting anew in a vibrant city like New Orleans.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",4,Happy Together,The Turtles,1967,This song's themes of love and togetherness might remind Ngo Thi Pham of her marriage to Quang and the community she built through cultural festivals.,,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",5,The Long And Winding Road/For You Blue,The Beatles,1970,The themes of journey and perseverance in this song could resonate with Ngo Thi Pham's immigration experience and her journey of establishing a new life in the US.,,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",6,Chantilly Lace,Big Bopper,1958,"While slightly outside her reminiscence bump, this upbeat song could evoke memories of her teenage years in Vietnam before immigrating.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",7,This Should Go On Forever,Rod Bernard,1970,"The song's release aligns with her early years in the US, possibly bringing back memories of hope and determination as she started her new life.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",8,Moonlight Serenade,The Rivieras,1959,"This classic tune may remind her of the music she heard during her youth in Vietnam, offering a comforting sense of nostalgia.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",9,Sing Sing Sing,Bernie Lowe Orchestra,1958,"As a lively and timeless piece, it might evoke memories of cultural gatherings and music she enjoyed in her youth.",,,
B_dense_k10,B,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",10,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,1959,"This song could connect to her teenage years, offering a sense of familiarity and comfort from a time before her life's major transitions.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,1,Sing,Carpenters,1973,"This song was popular during Fernando's reminiscence bump and has a joyful, uplifting tone that may resonate with his involvement in church activities.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,2,"December, 1963 (Oh, What a Night)",The 4 Seasons,1976,"This song was a hit shortly after Fernando became involved in local church activities, capturing the vibrant social atmosphere of that time.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,3,The Night They Drove Old Dixie Down,Joan Baez,1971,"A popular song during Fernando's young adulthood, it may evoke memories of his early years in Chicago and the cultural shifts of the era.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,4,This Is My Song,Petula Clark,1967,"Released during Fernando's early years in Chicago, this song's theme of personal expression might resonate with his journey and life changes.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,5,Please Please Me,The Beatles,1964,"A classic hit from The Beatles, it connects to the global cultural influence during Fernando's youth.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,6,Ruby Baby,Dion,1963,"This song was popular around the time Fernando moved to Chicago, potentially evoking memories of that significant life transition.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,7,South Street,The Orlons,1963,"A lively track from the early 60s, it might remind Fernando of the vibrant music scene during his teenage years.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,8,Things,Bobby Darin,1962,"This song was popular during Fernando's formative years, potentially bringing back memories of his youth.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,9,The Quiet Three,Duane Eddy His Twangy Guitar And The Rebels,1959,"An instrumental piece that might evoke a sense of nostalgia from the late 50s, a time of transition before his move to Chicago.",,,
B_dense_k10,B,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,10,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,1959,"This song captures the youthful spirit of the late 50s, aligning with Fernando's teenage years.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,1,Moody River,Pat Boone,1961,"This song was a number one hit in 1961, the year Dolores got married and moved to a new home. It may evoke memories of that significant life transition.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,2,I Get Around,The Beach Boys,1964,"Released during the peak of Dolores' reminiscence bump, this upbeat song might remind her of the vibrant community activities she was involved in, like joining the church choir.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,3,Five O'Clock World,The Vogues,1966,"This song aligns with the time Dolores was actively volunteering and organizing community events, reflecting the hustle and energy of her daily life.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,4,Remember When,The Platters,1959,"As a nostalgic tune from the late 1950s, it may remind Dolores of her early working days as a seamstress, a formative period in her life.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,5,Chantilly Lace,Big Bopper,1958,"This lively song was popular when Dolores was a teenager, potentially bringing back memories of youthful joy and social gatherings.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,6,Red River Rock,Johnny And The Hurricanes,1959,"The instrumental nature of this song may evoke a sense of nostalgia without specific lyrical associations, allowing Dolores to connect with the music on a personal level.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,7,Lonely Street,Andy Williams,1959,"This song's themes of longing and reflection could resonate with Dolores' experiences, particularly after her husband's passing.",,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,8,The Beat,The Rockin R's,1959,A lively tune from Dolores' young adulthood that might remind her of the vibrant music scene of the late 1950s.,,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,9,Sing Sing Sing,Bernie Lowe Orchestra,1958,An energetic instrumental piece that could evoke memories of dance and social events from her youth.,,,
B_dense_k10,B,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,10,Tunnel Of Love,Doris Day,1958,A romantic song from the late 1950s that may remind Dolores of her early relationship with her husband.,,,
B_dense_k10,B,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,1,I Get Around,The Beach Boys,1964,"This song was popular during James's high school graduation year, a significant life event when he joined a local factory. The upbeat and carefree nature of the song may evoke memories of youth and freedom.",,,
B_dense_k10,B,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,2,A Hard Day's Night,The Beatles,1964,"The Beatles were globally influential during James's formative years. This song, released during his high school graduation, could resonate with the cultural shifts of the 1960s.",,,
B_dense_k10,B,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,3,Poor Side Of Town,Johnny Rivers,1966,"Released during the year James was drafted into the Vietnam War, this song may connect to feelings of longing and change during that challenging period.",,,
B_dense_k10,B,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,4,"Monday, Monday",The Mamas & The Papas,1966,"This song's themes of uncertainty and hope might reflect James's emotions during his early adult years, particularly around his drafting into the Vietnam War.",,,
B_dense_k10,B,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,5,Happy Together,The Turtles,1967,"The song's joyful and optimistic tone aligns with James's return from the war and his newfound passion for woodworking, symbolizing new beginnings.",,,
B_dense_k10,B,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,6,Ruby Tuesday,The Rolling Stones,1967,The Rolling Stones were a major part of the music scene during James's youth. This song may evoke memories of cultural and personal transitions during his early 20s.,,,
