Loading retrieval system...
Loaded 2381 vectors, 2381 songs
Sampled 25 validation profiles

============================================================
TUNING VARIANT B
============================================================

--- Variant B | method=dense | k=10 ---
  [1/25] Aisha Khan: hist=0.80, overall=3, P@k=0.00, MRR=0.00
  [2/25] Eloise Johnson: hist=1.00, overall=3, P@k=0.03, MRR=0.08
  [3/25] Elena Martinez: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [4/25] Ngo Thi Pham: hist=1.00, overall=3, P@k=0.03, MRR=0.17
  [5/25] Fernando De la Cruz: hist=1.00, overall=4, P@k=0.03, MRR=0.06
  [6/25] Dolores Santos: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [7/25] James Kowalski: hist=0.90, overall=4, P@k=0.03, MRR=0.25
  [8/25] Robert Thompson: hist=1.00, overall=3, P@k=0.03, MRR=0.17
  [9/25] Pauline Deschamps: hist=1.00, overall=4, P@k=0.07, MRR=0.07
  [10/25] Rina Patel: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [11/25] Giuseppe Romano: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [12/25] Li Wei: hist=1.00, overall=4, P@k=0.07, MRR=1.00
  [13/25] Lillian Kim: hist=0.90, overall=4, P@k=0.03, MRR=0.05
  [14/25] Linda Park: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [15/25] Samuel Kim: hist=0.90, overall=4, P@k=0.07, MRR=0.07
  [16/25] Maria Gomez: hist=1.00, overall=3, P@k=0.03, MRR=0.05
  [17/25] Carlos Medina: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [18/25] Peter Kowalski: hist=1.00, overall=3, P@k=0.03, MRR=1.00
  [19/25] Samuel Williams: hist=1.00, overall=3, P@k=0.07, MRR=0.09
  [20/25] Samuel Lee: hist=1.00, overall=4, P@k=0.03, MRR=0.05
  [21/25] Patricia O'Brien: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  [22/25] Eleanor Kowalski: hist=1.00, overall=3, P@k=0.03, MRR=0.17
  [23/25] Dolores Rivera: hist=1.00, overall=4, P@k=0.10, MRR=1.00
  [24/25] Dorothy Nguyen: hist=1.00, overall=4, P@k=0.03, MRR=0.14
  [25/25] William Tucker: hist=1.00, overall=4, P@k=0.03, MRR=1.00
  >>> Avg: {'k': 30.0, 'birth_year': 1948.52, 'hist_plausibility': 0.9840000000000001, 'bio_precision_llm': 3.56, 'cultural_approp_llm': 3.0, 'overall_llm': 3.56, 'precision_at_k': 0.03112643678160919, 'recall': 0.04631578947368422, 'mrr': 0.21607836607836606}

--- Variant B | method=bm25 | k=10 ---
  [1/25] Aisha Khan: hist=0.70, overall=3, P@k=0.00, MRR=0.00
  [2/25] Eloise Johnson: hist=0.40, overall=3, P@k=0.00, MRR=0.00
  [3/25] Elena Martinez: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [4/25] Ngo Thi Pham: hist=0.40, overall=3, P@k=0.00, MRR=0.00
  [5/25] Fernando De la Cruz: hist=0.40, overall=3, P@k=0.00, MRR=0.00
  [6/25] Dolores Santos: hist=0.30, overall=3, P@k=0.00, MRR=0.00
  [7/25] James Kowalski: hist=0.40, overall=2, P@k=0.00, MRR=0.00
  [8/25] Robert Thompson: hist=0.40, overall=3, P@k=0.00, MRR=0.00
  [9/25] Pauline Deschamps: hist=0.20, overall=3, P@k=0.00, MRR=0.00
  [10/25] Rina Patel: hist=0.70, overall=3, P@k=0.00, MRR=0.00
  [11/25] Giuseppe Romano: hist=0.20, overall=3, P@k=0.00, MRR=0.00
  [12/25] Li Wei: hist=0.50, overall=3, P@k=0.00, MRR=0.00
  [13/25] Lillian Kim: hist=0.20, overall=3, P@k=0.00, MRR=0.00
  [14/25] Linda Park: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [15/25] Samuel Kim: hist=0.20, overall=3, P@k=0.00, MRR=0.00
  [16/25] Maria Gomez: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [17/25] Carlos Medina: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [18/25] Peter Kowalski: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [19/25] Samuel Williams: hist=0.50, overall=3, P@k=0.00, MRR=0.00
  [20/25] Samuel Lee: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [21/25] Patricia O'Brien: hist=0.20, overall=3, P@k=0.00, MRR=0.00
  [22/25] Eleanor Kowalski: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [23/25] Dolores Rivera: hist=0.50, overall=3, P@k=0.00, MRR=0.00
  [24/25] Dorothy Nguyen: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [25/25] William Tucker: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  >>> Avg: {'k': 10.0, 'birth_year': 1948.52, 'hist_plausibility': 0.47600000000000003, 'bio_precision_llm': 2.96, 'cultural_approp_llm': 2.48, 'overall_llm': 2.96, 'precision_at_k': 0.0, 'recall': 0.0, 'mrr': 0.0}

--- Variant B | method=bm25 | k=20 ---
  [1/25] Aisha Khan: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [2/25] Eloise Johnson: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [3/25] Elena Martinez: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [4/25] Ngo Thi Pham: hist=0.60, overall=4, P@k=0.00, MRR=0.00
  [5/25] Fernando De la Cruz: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [6/25] Dolores Santos: hist=0.30, overall=3, P@k=0.00, MRR=0.00
  [7/25] James Kowalski: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [8/25] Robert Thompson: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [9/25] Pauline Deschamps: hist=0.30, overall=3, P@k=0.00, MRR=0.00
  [10/25] Rina Patel: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  [11/25] Giuseppe Romano: hist=0.30, overall=3, P@k=0.00, MRR=0.00
  [12/25] Li Wei: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [13/25] Lillian Kim: hist=0.40, overall=3, P@k=0.00, MRR=0.00
  [14/25] Linda Park: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [15/25] Samuel Kim: hist=0.40, overall=3, P@k=0.00, MRR=0.00
  [16/25] Maria Gomez: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [17/25] Carlos Medina: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [18/25] Peter Kowalski: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [19/25] Samuel Williams: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [20/25] Samuel Lee: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [21/25] Patricia O'Brien: hist=0.30, overall=3, P@k=0.00, MRR=0.00
  [22/25] Eleanor Kowalski: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [23/25] Dolores Rivera: hist=0.80, overall=4, P@k=0.00, MRR=0.00
  [24/25] Dorothy Nguyen: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  [25/25] William Tucker: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  >>> Avg: {'k': 20.0, 'birth_year': 1948.52, 'hist_plausibility': 0.7519999999999999, 'bio_precision_llm': 3.32, 'cultural_approp_llm': 2.72, 'overall_llm': 3.32, 'precision_at_k': 0.0, 'recall': 0.0, 'mrr': 0.0}

--- Variant B | method=bm25 | k=30 ---
  [1/25] Aisha Khan: hist=0.80, overall=3, P@k=0.00, MRR=0.00
  [2/25] Eloise Johnson: hist=0.90, overall=3, P@k=0.00, MRR=0.00
  [3/25] Elena Martinez: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [4/25] Ngo Thi Pham: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  [5/25] Fernando De la Cruz: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [6/25] Dolores Santos: hist=0.60, overall=3, P@k=0.00, MRR=0.00
  [7/25] James Kowalski: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [8/25] Robert Thompson: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [9/25] Pauline Deschamps: hist=0.80, overall=4, P@k=0.00, MRR=0.00
  [10/25] Rina Patel: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [11/25] Giuseppe Romano: hist=0.70, overall=3, P@k=0.00, MRR=0.00
  [12/25] Li Wei: hist=0.80, overall=3, P@k=0.00, MRR=0.00
  [13/25] Lillian Kim: hist=0.40, overall=4, P@k=0.00, MRR=0.00
  [14/25] Linda Park: hist=1.00, overall=3, P@k=0.00, MRR=0.00
  [15/25] Samuel Kim: hist=0.30, overall=4, P@k=0.00, MRR=0.00
  [16/25] Maria Gomez: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [17/25] Carlos Medina: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [18/25] Peter Kowalski: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [19/25] Samuel Williams: hist=0.80, overall=3, P@k=0.00, MRR=0.00
  [20/25] Samuel Lee: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [21/25] Patricia O'Brien: hist=0.50, overall=4, P@k=0.00, MRR=0.00
  [22/25] Eleanor Kowalski: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  [23/25] Dolores Rivera: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  [24/25] Dorothy Nguyen: hist=0.90, overall=4, P@k=0.00, MRR=0.00
  [25/25] William Tucker: hist=1.00, overall=4, P@k=0.00, MRR=0.00
  >>> Avg: {'k': 30.0, 'birth_year': 1948.52, 'hist_plausibility': 0.8519999999999999, 'bio_precision_llm': 3.6, 'cultural_approp_llm': 3.12, 'overall_llm': 3.6, 'precision_at_k': 0.0, 'recall': 0.0, 'mrr': 0.0}

Variant B saved to outputs/tuning_variant_b.csv, tuning_variant_b_raw.csv, tuning_variant_b_playlists.csv

============================================================
TUNING VARIANT C
============================================================

--- Variant C | method=dense | total_k=10 ---
Generated 8 queries:
  - top pop and rock hits in St. Louis 1978-1988
  - popular songs by Pakistani artists 1978-1988
  - wedding songs popular in 1985 St. Louis
  - hits from female artists in St. Louis 1980-1985
  - songs about overcoming odds 1981
  - top songs in Chicago 1987
  - songs popular among Pakistani American communities 1980s
  - graduation year hits 1981 St. Louis
  [1/25] Aisha Khan: hist=0.70, overall=3, P@k=0.10, MRR=0.12
Generated 8 queries:
  - popular Motown hits in Atlanta 1957-1967
  - top R&B songs by African American artists 1960-1965
  - Civil Rights movement songs 1965
  - wedding songs popular in 1970
  - Atlanta radio hits 1962-1965
  - female vocalists popular in the 1960s
  - gospel and soul music in Atlanta 1970s
  - songs about love and loss 1985
  [2/25] Eloise Johnson: hist=0.60, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular Mexican American songs in San Antonio 1965-1975
  - top female empowerment songs 1973
  - hits on San Antonio radio stations 1965-1975
  - popular wedding songs in Texas 1969
  - top Chicano music artists 1965-1975
  - songs about single parenthood 1977
  - popular songs among women in the 1970s
  - hits from female artists 1965-1975
  [3/25] Elena Martinez: hist=0.60, overall=3, P@k=0.10, MRR=1.00
Generated 8 queries:
  - popular songs in New Orleans 1960-1970
  - Vietnamese American music influences 1960s
  - top female artists in the US 1965-1970
  - wedding songs popular in 1982
  - hits on New Orleans radio stations 1965-1970
  - songs about immigration and new beginnings 1975
  - popular songs among Vietnamese American communities 1970s
  - top songs in New Orleans during cultural festivals 1980s
  [4/25] Ngo Thi Pham: hist=1.00, overall=2, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular soul and R&B hits in Chicago 1963-1973
  - top Dominican American artists 1963-1973
  - wedding songs popular in 1969 Chicago
  - top Latin music hits in the US 1963-1973
  - popular male artists in Chicago 1963-1973
  - top songs played on Chicago radio stations 1966
  - hits from Dominican artists in the US 1963-1973
  - songs popular in Chicago church communities 1976
    generate_playlist attempt 1 failed: Expecting value: line 27 column 23 (char 1202), retrying...
    generate_playlist attempt 2 failed: Expecting value: line 27 column 23 (char 1216), retrying...
  [5/25] Fernando De la Cruz: hist=0.60, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular Mexican American songs in San Antonio 1955-1965
  - top hits on San Antonio radio stations 1955-1965
  - wedding songs popular in Texas 1961
  - female artists popular in the 1960s among Mexican Americans
  - songs played at church events in San Antonio 1966
  - regional hits in Texas during the 1950s and 1960s
  - songs associated with Day of the Dead celebrations 1972
  - popular songs among women in the early 1960s
  [6/25] Dolores Santos: hist=0.80, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular rock and roll hits in Cleveland 1961-1971
  - top Polish American artists 1961-1971
  - Vietnam War era songs popular among men 1966
  - wedding songs popular in Cleveland 1973
  - top hits on Cleveland radio stations 1964
  - songs about returning home from war 1971
  - popular songs at high school graduations 1964
  - songs by Polish American artists 1961-1971
  [7/25] James Kowalski: hist=0.90, overall=3, P@k=0.10, MRR=0.17
Generated 8 queries:
  - popular rock and roll hits in West Virginia 1960-1970
  - top country songs in Appalachian region 1965
  - Charleston West Virginia radio hits 1963
  - songs about coal mining from the 1960s
  - popular male artists in the US 1968
  - top songs played at weddings in 1971
  - truck driving songs from the 1970s
  - popular Appalachian folk music 1960-1970
  [8/25] Robert Thompson: hist=1.00, overall=4, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular songs in New York 1954-1964
  - Haitian American music influences in New York 1957-1964
  - top female artists 1954-1964
  - wedding songs popular in New York 1964
  - hits on New York radio stations 1960
  - songs popular among Haitian communities in New York 1960-1964
  - top songs for women in the US 1960-1964
  - songs about immigration and new beginnings 1957
  [9/25] Pauline Deschamps: hist=0.80, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - top pop hits in Queens, New York 1978-1988
  - popular Indian American music in Queens 1980s
  - wedding songs popular in New York 1985
  - top female artists in the US 1980s
  - hits played on New York radio stations 1980-1985
  - songs popular among Indian American communities 1980s
  - graduation year hits 1981
  - songs about motherhood popular in 1986
  [10/25] Rina Patel: hist=0.20, overall=2, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular Italian American songs in Providence 1954-1964
  - top hits on Rhode Island radio stations 1957
  - wedding songs popular in Italian American communities 1961
  - Billboard top 100 songs 1961
  - songs played at Italian American weddings in the 1960s
  - Providence local radio hits 1965
  - popular male artists in the early 1960s
  - songs that were hits in the Italian American community during the 1950s and 1960s
  [11/25] Giuseppe Romano: hist=1.00, overall=4, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular rock songs in Seattle 1970-1980
  - top Chinese American artists 1970-1980
  - wedding songs popular in 1976 Seattle
  - hits from Seattle radio stations 1971
  - songs popular among women in the 1970s
  - top songs from Chinese cultural events 1983 Seattle
  - graduation year hits 1973 Seattle
  - popular songs in Seattle during 1979 business opening
  [12/25] Li Wei: hist=0.50, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular songs in Los Angeles 1951-1961
  - top Korean American artists 1950s
  - wedding songs 1960 Los Angeles
  - graduation hits 1954 Los Angeles
  - female popular artists 1950s Los Angeles
  - top hits on Los Angeles radio 1956
  - songs popular among Korean American community 1960s
  - hits from cultural festivals in Koreatown 1970s
  [13/25] Lillian Kim: hist=0.80, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - top pop hits in Virginia 1975-1985
  - popular songs by Korean American artists 1975-1985
  - hit songs on Virginia radio stations 1978
  - songs popular among college students in Virginia 1978
  - top love songs 1989
  - popular wedding songs 1989
  - top female artists 1980-1985
  - popular songs during high school graduation 1978
  [14/25] Linda Park: hist=0.50, overall=2, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular songs in Seattle 1951-1961
  - top hits on Seattle radio stations 1955-1960
  - Korean American popular music 1950s
  - wedding songs 1959
  - popular male artists in 1950s Seattle
  - top Billboard hits 1959
  - songs about fatherhood 1961
  - songs about overcoming adversity 1973
  [15/25] Samuel Kim: hist=0.90, overall=4, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular Mexican American artists in San Antonio 1965-1975
  - top wedding songs in Texas 1972
  - hits from San Antonio radio stations 1965-1975
  - popular female artists in the 1970s among Mexican Americans
  - top country songs in Texas 1975
  - Mexican American cultural hits 1965-1975
  - songs about family and support 1966
  - popular songs during church charity events in Texas 1989
  [16/25] Maria Gomez: hist=0.40, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - top Cuban American hits in Miami 1965-1975
  - popular songs for Cuban immigrants in the U.S. 1964
  - Vietnam War era songs popular among U.S. soldiers 1970
  - Miami radio hits 1970-1975
  - wedding songs popular in Miami 1980
  - top male artists in the U.S. 1965-1975
  - popular Latin music in Miami 1965-1975
  - songs about starting a business 1986
  [17/25] Carlos Medina: hist=0.30, overall=4, P@k=0.10, MRR=0.17
Generated 8 queries:
  - popular rock songs in Chicago 1967-1977
  - top Polish American folk music 1967-1977
  - wedding songs popular in Chicago 1974
  - hits from Chicago radio stations 1970-1975
  - popular male artists in the 1970s Chicago
  - songs about economic hardship 1985
  - top hits during the Chicago construction boom 1981
  - Polish American community music in Chicago 1967-1977
  [18/25] Peter Kowalski: hist=0.50, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular R&B and soul hits in Chicago 1970-1980
  - top African American artists 1973 military enlistment
  - Chicago radio hits 1977 truck driving
  - soul and funk songs popular among African American men 1975
  - songs about economic hardship and resilience 1981
  - community and unity themed songs 1985
  - hits from Chicago radio stations 1985
  - inspirational songs for adult education 1990
  [19/25] Samuel Williams: hist=0.70, overall=4, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular rock songs in Los Angeles 1965-1975
  - top Motown hits 1968
  - Vietnam War era songs popular among soldiers 1970
  - wedding songs 1973 Los Angeles
  - Korean American popular music 1965-1975
  - Los Angeles radio hits 1973
  - songs popular among men in the 1970s
  - top Billboard hits 1973
  [20/25] Samuel Lee: hist=0.60, overall=3, P@k=0.10, MRR=0.11
Generated 8 queries:
  - popular songs in Boston 1953-1963
  - Irish American folk music hits 1950s
  - wedding songs popular in 1963
  - top female artists in the 1950s and 1960s
  - Boston radio hits 1956
  - songs about firefighters or bravery 1960s
  - songs popular among women in the 1960s
  - songs played at high school graduations 1956
  [21/25] Patricia O'Brien: hist=0.70, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular songs in Milwaukee 1966-1976
  - top Polish American artists 1966-1976
  - wedding songs popular in 1972
  - hits on Milwaukee radio stations 1968
  - female artists popular in the early 1970s
  - songs about motherhood popular in 1975
  - songs about starting a business in the 1980s
  - popular breakup songs in 1989
  [22/25] Eleanor Kowalski: hist=0.70, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular Mexican American songs San Antonio 1970-1975
  - top hits on San Antonio radio 1972
  - wedding songs popular in Texas 1976
  - Mexican American female artists 1970-1980
  - songs about family and support 1985
  - top country songs in Texas 1975
  - songs popular in church groups 1980
  - popular songs during economic downturn 1985
  [23/25] Dolores Rivera: hist=0.30, overall=2, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular songs in Seattle 1968-1978
  - Vietnamese American popular music 1970s
  - top hits in Seattle radio 1972
  - songs about immigration 1970s
  - female artists popular in 1975
  - songs popular in community colleges 1977
  - Seattle local radio hits 1975
  - Vietnamese American community favorite songs 1970s
  [24/25] Dorothy Nguyen: hist=0.40, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - top rock songs in Charleston WV 1967-1977
  - popular country hits in Appalachia 1970
  - wedding songs popular in 1970 Charleston WV
  - songs about working in coal mines 1968
  - protest and strike songs 1973
  - popular male artists in Charleston WV 1973
  - Appalachian folk music hits 1967-1977
  - songs about job loss and resilience 1980
  [25/25] William Tucker: hist=0.50, overall=3, P@k=0.00, MRR=0.00
  >>> Avg: {'k': 10.0, 'birth_year': 1948.52, 'hist_plausibility': 0.64, 'bio_precision_llm': 3.04, 'cultural_approp_llm': 2.88, 'overall_llm': 3.04, 'precision_at_k': 0.02, 'recall': 0.010315789473684212, 'mrr': 0.06277777777777778}

--- Variant C | method=dense | total_k=20 ---
Generated 8 queries:
  - top pop hits in St. Louis 1978-1988
  - popular Pakistani American artists 1980s
  - wedding songs popular in 1985
  - hits from female artists in St. Louis 1980-1985
  - songs about overcoming odds 1981
  - songs popular in Chicago 1987
  - songs about motherhood 1989
  - songs for immigrant empowerment 1992
  [1/25] Aisha Khan: hist=0.90, overall=4, P@k=0.05, MRR=0.08
Generated 8 queries:
  - popular Motown hits in Atlanta 1957-1967
  - top R&B songs by African American artists 1960-1965
  - songs played during Civil Rights marches in Atlanta 1965
  - wedding songs popular in Georgia 1970
  - female artists popular in the 1960s in the African American community
  - soul and gospel music popular in Atlanta 1978
  - top hits on Atlanta radio stations 1962-1965
  - songs about love and family from the 1970s
  [2/25] Eloise Johnson: hist=0.70, overall=4, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular songs in San Antonio 1965-1975
  - top Mexican American artists 1965-1975
  - hits from 1969 related to motherhood
  - songs about women's empowerment 1973
  - popular female artists 1965-1975
  - regional hits in Texas 1965-1975
  - songs about independence and single parenting 1977
  - top wedding songs 1965-1975
  [3/25] Elena Martinez: hist=0.90, overall=4, P@k=0.05, MRR=0.33
Generated 8 queries:
  - popular songs in New Orleans 1960-1970
  - Vietnamese American music influences 1960s
  - top female artists 1965-1970
  - wedding songs popular in 1982
  - Vietnamese music in the US 1975
  - New Orleans radio hits 1965-1970
  - songs about immigration and new beginnings 1975
  - popular cultural festival music 1989
  [4/25] Ngo Thi Pham: hist=0.70, overall=3, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular soul and R&B hits in Chicago 1963-1973
  - top Latin music hits in the US 1963-1973
  - wedding songs popular in 1969
  - Dominican American favorite songs 1963-1973
  - Chicago radio hits 1966
  - songs about new beginnings 1966
  - popular male artists in the US 1963-1973
  - top Billboard hits 1969
  [5/25] Fernando De la Cruz: hist=1.00, overall=4, P@k=0.00, MRR=0.00
Generated 8 queries:
  - popular Mexican American hits in San Antonio 1955-1965
  - top female artists in the 1960s San Antonio
  - wedding songs popular in 1961 Texas
  - Mexican American community songs 1960s San Antonio
  - top songs on San Antonio radio stations 1955-1965
  - popular church choir songs 1966
  - Day of the Dead celebration music 1972
  - female empowerment songs 1970s
  [6/25] Dolores Santos: hist=0.90, overall=4, P@k=0.10, MRR=0.33
Generated 8 queries:
  - popular rock and roll songs in Cleveland 1961-1971
  - top Polish American artists 1960s
  - Vietnam War era songs popular among men 1966
  - wedding songs popular in 1973 Cleveland
  - local Cleveland radio hits 1964
  - top songs by male artists 1965-1970
  - popular factory work songs 1964
  - songs about returning home from war 1971
