condition,variant,method,k,profile_id,name,gender,birth_year,cultural_background,hometown,life_events,rank,song,artist,year,relevance_reason,biographical_precision_1_5,cultural_appropriateness_1_5,notes
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,1,Where Were You (On Our Wedding Day)?,Lloyd Price,1959,This song aligns with Eloise's cultural background and was released around the time she started working as a seamstress. It can evoke memories of her early adulthood and possibly her own wedding day.,,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,2,I'm Gonna Get Married,Lloyd Price,1959,"This song is culturally relevant and coincides with Eloise's reminiscence bump, potentially reminding her of her own marriage and family life.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,3,Wedding Bell Blues,The 5th Dimension,1969,"Although released slightly after her reminiscence bump, this song's theme of love and marriage can resonate with Eloise's life events, such as her marriage and family.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,4,"Paint It, Black",The Rolling Stones,1966,"This song was popular during the time Eloise participated in Civil Rights marches, potentially evoking memories of that era and its cultural significance.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,5,The Wedding,June Valli,1959,"This song might remind Eloise of weddings and celebrations, linking back to her own wedding and family beginnings.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,6,Big Bopper's Wedding,Big Bopper,1959,"The playful nature of this song could bring a sense of joy and nostalgia, connecting to her early adult years and social gatherings.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,7,Lost In Love,Air Supply,1980,"Though released later, its theme of love can still resonate with Eloise's memories of her husband and family life.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,8,Love Song,The Cure,1989,"This song's timeless theme of love can resonate with Eloise's experiences, even though it's from a later period.",,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,9,Sowing The Seeds Of Love,Tears For Fears,1989,The themes of love and growth can connect with Eloise's experiences in her community and family.,,,
C_dense_k10,C,dense,10,P031,Eloise Johnson,Female,1942,African American,"Atlanta, Georgia",1959: Started working as a seamstress at a local factory | 1965: Participated in Civil Rights marches in Atlanta | 1970: Married and started a family with two children | 1978: Became a member of the local church choir | 1985: Lost husband to a workplace accident,10,Bad Love,Eric Clapton,1990,"While not from her reminiscence bump, this song's exploration of love's complexities might resonate with Eloise's personal experiences.",,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,1,I Am Woman,Helen Reddy,1973,This song is an anthem of women's empowerment and aligns with Elena's involvement in a local women's rights group in 1973.,,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,2,Mother And Child Reunion,Paul Simon,1972,The song's themes of reunion and family can resonate with Elena's experience of raising her children as a single parent.,,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,3,American Woman/No Sugar Tonight,The Guess Who,1970,"The song reflects themes of independence and strength, which may connect with Elena's journey as a single parent and business owner.",,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,4,Woman,John Lennon,1981,This song celebrates women and may resonate with Elena's personal experiences and her advocacy for women's rights.,,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,5,Delta Dawn,Helen Reddy,1973,This song was popular during a significant period in Elena's life and can evoke memories from that era.,,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,6,El Paso,Marty Robbins,1960,"Given Elena's Mexican American background, this song's narrative and style might remind her of cultural stories and music from her youth.",,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,7,The Wedding,June Valli,1959,"This song may evoke memories of significant life events such as her marriage, despite its later dissolution.",,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,8,Danny Boy,Sil Austin,1959,A classic song that might have been part of the musical landscape during her teenage years.,,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,9,Big Bopper's Wedding,Big Bopper,1959,A light-hearted song that could bring back memories of her early adulthood and social events.,,,
C_dense_k10,C,dense,10,P102,Elena Martinez,Female,1950,Mexican American,"San Antonio, Texas",1967: Started working as a seamstress | 1969: Gave birth to her first daughter | 1973: Became active in a local women's rights group | 1977: Divorced and raised her children as a single parent | 1980: Opened a small tailor shop,10,Everybody,Tommy Roe,1964,"A popular song from her late teenage years, likely familiar and potentially linked to social gatherings or dances.",,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",1,The Battle Of New Orleans,Johnny Horton,1959,"This song is directly related to New Orleans, where Ngo Thi Pham is from, and might evoke memories of her hometown.",,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",2,Way Down Yonder In New Orleans,Freddie Cannon,1960,"Another song about New Orleans, which could help her reminisce about her early life in her hometown.",,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",3,When The Saints Go Marching In,Fats Domino,1959,A classic New Orleans jazz standard that might remind her of the vibrant music culture of her hometown.,,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",4,I'm Gonna Get Married,Lloyd Price,1959,"This song can be linked to her marriage in 1982, a significant life event.",,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",5,Where Were You (On Our Wedding Day)?,Lloyd Price,1959,"This song can evoke memories of her wedding day, connecting to her marriage to Quang.",,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",6,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,1959,A romantic song that might remind her of her wedding and the love she shares with her husband.,,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",7,The Wedding,June Valli,1960,Another wedding-themed song that could bring back memories of her own wedding ceremony.,,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",8,Big Bopper's Wedding,Big Bopper,1959,A lighthearted take on weddings that could bring a smile and spark conversations about marriage.,,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",9,Nola,The Morgan Brothers,1959,"The title 'Nola' is a common nickname for New Orleans, potentially evoking memories of her hometown.",,,
C_dense_k10,C,dense,10,P099,Ngo Thi Pham,Female,1945,Vietnamese American,"New Orleans, Louisiana","1975: Immigrated to the US after the fall of Saigon | 1977: Worked as a seamstress to support her family | 1980: Opened a small tailoring shop in her community | 1982: Got married to a fellow immigrant, Quang | 1989: Became active in organizing cultural festivals",10,Nola,Billy Williams,1959,"Another version of 'Nola' that reinforces the connection to New Orleans, her place of origin.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,1,Just You 'n' Me,Chicago,1973,"This song was released during Fernando's reminiscence bump and is by a band named after his hometown, which may evoke memories of his early years in Chicago.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,2,Saturday In The Park,Chicago,1972,"The song's themes of leisure and community gatherings in Chicago parks could resonate with Fernando's experiences in the city, especially during weekends with family and friends.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,3,Wedding Bell Blues,The 5th Dimension,1969,"Released in the year Fernando got married, this song could remind him of his wedding and the early days of his marriage.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,4,"Baby, What A Big Surprise",Chicago,1977,"As this song came out shortly after he became involved in church activities, it may bring back memories of community and personal growth during that period.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,5,Good Times,Chic,1979,"Reflecting the disco era, this upbeat song might remind Fernando of social events and celebrations in the late 1970s.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,6,The Night Chicago Died,Paper Lace,1974,"Despite its fictional narrative, the song's title and setting in Chicago might spark discussions about his life in the city during the 1970s.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,7,The Wedding,June Valli,1959,"Although released before his marriage, the theme of weddings could evoke sentimental memories of his own wedding day.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,8,25 Or 6 To 4,Chicago,1986,"While released later, the song's connection to Chicago and its classic rock sound may still resonate with Fernando's musical tastes.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,9,What Kind Of Man Would I Be?,Chicago,1990,"As a later hit by Chicago, it may remind Fernando of his continued connection to the city and its cultural output.",,,
C_dense_k10,C,dense,10,P078,Fernando De la Cruz,Male,1948,Dominican American,"Chicago, Illinois",1966: Moved to Chicago for manufacturing job | 1969: Married high school sweetheart | 1976: Became involved in local church activities | 1984: Laid off during economic downturn | 1987: Started new job as a bus driver,10,I Don't Wanna Live Without Your Love,Chicago,1988,This song's themes of love and connection might resonate with Fernando's long marriage and family ties.,,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,1,She's A Woman,The Beatles,1965,"This song was released during Dolores's reminiscence bump years and The Beatles were a significant cultural phenomenon during the 1960s, likely resonating with her experiences as a young adult.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,2,Wedding Bell Blues,The 5th Dimension,1969,"Although released slightly after her reminiscence bump, the theme of weddings may connect with Dolores's own marriage in 1961, evoking memories of that significant life event.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,3,"Woman, Woman",The Union Gap Featuring Gary Puckett,1968,This song's release year falls within Dolores's reminiscence bump and its themes of relationships and love may resonate with her experiences during her marriage.,,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,4,Honky Tonk Women,The Rolling Stones,1969,"The Rolling Stones were a major influence in the 1960s music scene, and this song's popularity might evoke memories of the era when Dolores was actively involved in her community and social life.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,5,I'm Gonna Get Married,Lloyd Price,1959,"Released just before Dolores's marriage, this song may remind her of the excitement and anticipation leading up to her wedding day.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,6,Where Were You (On Our Wedding Day)?,Lloyd Price,1959,"This song's theme directly relates to weddings, potentially sparking memories of Dolores's own wedding in 1961.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,7,The Wedding,June Valli,1959,"As a song about weddings, it could evoke memories of Dolores's marriage and the early years of her married life.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,8,Big Bopper's Wedding,Big Bopper,1959,"This song, with its playful take on weddings, might bring a sense of nostalgia and joy from the time around her own wedding.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,9,Woman,John Lennon,1981,"Though released later in her life, its focus on appreciating women could resonate with Dolores's identity and experiences as a community volunteer and choir member.",,,
C_dense_k10,C,dense,10,P171,Dolores Santos,Female,1940,Mexican American,"San Antonio, TX",1955: Started working as a seamstress in a local factory | 1961: Married and moved to a small house on the West Side | 1966: Joined the church choir and became a prominent community volunteer | 1972: Helped organize a local 'Day of the Dead' celebration | 1980: Lost her husband to a workplace accident,10,"Wild Women Do (From ""Pretty Woman"")",Natalie Cole,1990,"While outside her reminiscence bump, this song's empowering message might connect with Dolores's strong community involvement and personal resilience.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,1,The Ballad Of The Green Berets,SSgt Barry Sadler,1966,"This song was a hit during James's time in the Vietnam War, likely resonating with his experiences as a soldier.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,2,Yummy Yummy Yummy,Ohio Express,1968,"This song is from the Ohio Express, connecting to James's Ohio roots and was popular during his early adulthood.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,3,Welcome Back,John Sebastian,1976,"Although slightly outside the reminiscence bump, this song's theme of returning home may connect with James's return from the war.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,4,Love Rollercoaster,Ohio Players,1976,"The Ohio Players are from Ohio, which might resonate with James's hometown pride and cultural background.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,5,High Hopes,Frank Sinatra,1959,"A classic tune from James's teenage years, potentially bringing back memories of his high school days.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,6,Where Were You (On Our Wedding Day)?,Lloyd Price,1959,This song's wedding theme could remind James of his marriage to his childhood sweetheart.,,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,7,I'm Gonna Get Married,Lloyd Price,1959,"Another song related to marriage, reinforcing memories of his wedding.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,8,Graduation's Here,The Fleetwoods,1959,"Reflects James's high school graduation, an important milestone in his life.",,,
C_dense_k10,C,dense,10,P133,James Kowalski,Male,1946,Polish American,"Cleveland, Ohio",1964: Graduated high school and joined a local factory | 1966: Drafted into Vietnam War | 1971: Returned and took up woodworking | 1973: Married childhood sweetheart,9,The Wedding,June Valli,1959,"A song about weddings, potentially evoking memories of his own wedding day.",,,
